# 
# 05/11/2026 01:18:06
# The parameters defined in the project are:
# ,P1 - Force X Component [N],P3 - Force Z Component [N],P29 - Mass [kg],P30 - K factor,P31 - Angle [degree],P4 - Equivalent Stress Maximum [MPa],P5 - Equivalent Stress Average [MPa],P6 - Maximum Principal Stress Maximum [MPa],P7 - Maximum Principal Stress Minimum [MPa],P8 - Maximum Principal Stress Average [MPa],P9 - Equivalent Stress Minimum [MPa],P16 - Total Deformation Maximum [mm],P26 - Safety Factor (neck) Minimum,P27 - Safety Factor (STEM 2) Minimum,P28 - Safety Factor (STEM 1) Minimum
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P3,P29,P30,P31,P4,P5,P6,P7,P8,P9,P16,P26,P27,P28
DP 10,1690.67,298.11,50,3.5,10,489.15377815777697,9.8134053847297089,521.19972153336221,-135.4955225866849,4.5995850294990364,5.6443519858531817E-10,0.67610649368067732,1.6906748693930163,4.137781747713789,1.810700613758403
DP 11,1613.22,587.16,50,3.5,20,431.04079492983567,8.523195750577333,440.35506703429564,-121.40807414902986,3.8257454739276917,5.1836880495032232E-10,0.56336727790993679,1.9186119033921556,5.8906055967001976,2.0563783831990841
DP 12,1962,0,50,4,0,608.46353941055531,12.390894212861584,669.95273129234181,-166.10717611216802,6.0035873900313748,1.0975228743760912E-09,0.87814493625512069,1.3591611434945641,2.8558353949668476,1.4547610551605066
DP 13,1932.19,340.7,50,4,10,559.03121514676354,11.215285329635304,595.65482235082527,-154.85159156331642,5.2566501420666656,1.2388413039607546E-09,0.77269043867034293,1.4793449410206654,3.6205765730847994,1.5843677681657853
DP 14,1843.68,671.04,50,4,20,492.61804453353733,9.740795143250903,503.2629292010941,-138.75208359114936,4.3722805408606158,5.9759167946291808E-10,0.64384829240248509,1.678785438692346,5.1542797592324074,1.799331100255561
DP 15,1471.5,0,50,3,0,456.34765785148312,9.2931706552820952,502.46454822208671,-124.58038061609194,4.5026905284813781,9.4682205425872375E-10,0.658608732225079,1.8122148449135773,3.8077804829577335,1.9396813912272479
DP 16,1449.14,255.52,50,3,10,419.2732231816056,8.4114624393036763,446.74120647228233,-116.13861161762014,3.9424894446669958,9.6518350377161587E-10,0.57951804812997465,1.9724608066415676,4.8274223856907765,2.1124912806780043
DP 17,1382.76,503.28,50,3,20,369.46353612955977,7.3055963560275838,377.44720014264112,-104.06406091669042,3.2792104048769204,4.1655016940985472E-10,0.4828862341298642,2.2383805683871221,6.872373185515424,2.3991081357689397
DP 18,1716.75,0,50,3.5,0,532.40560029135509,10.842032428988382,586.20863788086558,-145.34378038211941,5.2531389461516742,1.2685998461351728E-09,0.76837686379870118,1.5533270114879161,3.263811921582215,1.6625840212870389
DP 19,1690.67,298.11,50,3.5,10,489.15377805486452,9.8134053871732849,521.19972153234426,-135.49552322928051,4.5995850311241888,6.6238024825302838E-10,0.67610649368067732,1.6906748697487148,4.1377817479165611,1.8107006137496915
DP 20,1613.22,587.16,50,3.5,20,431.04079596459212,8.5231957396749642,440.3550636954493,-121.40807532886413,3.8257454848139663,9.2318417158815015E-10,0.5633672779107346,1.9186118987863365,5.8906052717656179,2.0563784205321114
DP 21,1962,0,50,4,0,608.46353871926954,12.390894212027042,669.9527367256394,-166.10717613787691,6.0035873974822591,1.0920631626148927E-09,0.87814493625512069,1.3591611450387298,2.8558353949668476,1.4547610551738932
DP 22,1932.19,340.7,50,4,10,559.03121514676354,11.21528532980429,595.65482235082527,-154.85159156331642,5.256650142667235,1.238838179399184E-09,0.77269043867034293,1.4793449410206654,3.6205765730847994,1.5843677681657853
DP 23,1843.68,671.04,50,4,20,492.61806649665607,9.7407951325349,503.26294033072634,-138.75208476212129,4.3722805550374968,1.2335453077765598E-09,0.6438482924032829,1.6787853638445751,5.1542797525156585,1.7993311202813436
DP 24,2207.25,0,50,4.5,0,684.521479455188,13.939755992104446,753.69682378042228,-186.87057342612385,6.7540358231637789,1.2372651366014876E-09,0.98791306877925722,1.2081432428653822,2.5385203453399043,1.2931209319846004
DP 25,2173.72,383.28,50,4.5,10,628.91293644002553,12.617256674610053,670.115224867206,-174.20876088779698,5.9137646702713287,8.7996949858091723E-10,0.86928154313106587,1.3149673859171187,3.2182631115699811,1.4083205646833346
DP 26,2074.14,754.92,50,4.5,20,554.19531173776625,10.958394523321015,566.17079685256351,-156.09609642075293,4.9188156335917892,1.3581578259918668E-09,0.72432936547048077,1.4922536919462781,4.5815819845629555,1.5994054594463238
